Series Name,Series Code,Country Name,Country Code,1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Afghanistan,AFG,38.5616585156635,39.276429270146,39.276429270146,39.276429270146,39.276429270146,39.276429270146,39.276429270146,39.276429270146,39.276429270146,39.276429270146,39.276429270146,39.276429270146,39.276429270146,38.818463,36.5671446236559,47.5,47.5,47.5,46.6195310771889,47.3575747311828,47.500014516129,47.263,48.7627535833333,47.8453125,49.4945975,49.9253308333333,49.9620177703972,50.2496147435897,50.325,46.4524610013175,46.747007738581,50.9214,55.3775,57.2475,61.1434615416667,67.8660857692308,68.0269040822312,72.083247177304,77.7379491783367,76.8135364354897,..,..,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,75.0325,102.0625,94.6233333333333,92.6975,104.498916666667,148.932916666667,150.633333333333,137.690583333333,143.709416666667,143.484833333333,140.154515875,121.86325,102.780051196172,99.8702544808992,98.1033770912698,90.4278938310708,83.8946041005291,94.9781198203843,103.936666666667,100.895833333333,108.184166666667,105.669166666667,105.48,125.961666666667,124.1425,119.1,107.989166666667,109.850833333333,108.65,103.52,113.041666666667,100.645
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Algeria,DZA,4.31580833233333,4.59219166566667,4.788799999,4.98337499958333,5.0278,4.70231666666666,4.84974166666666,5.91476666666667,7.60855833333333,8.95750833333333,18.472875,21.836075,23.3454066666667,35.0585008333333,47.6627266666667,54.7489333333333,57.70735,58.7389583333333,66.573875,75.2597916666666,77.2150208333334,79.6819,77.394975,72.06065,73.2763083333333,72.6466166666667,69.2924,64.5828,72.6474166666667,74.3859833333333,72.9378833333333,77.5359666666667,79.3684,80.5790166666667,100.691433333333,109.443066666667,110.973016666667,116.593791666667,119.353558333333,126.7768,135.064058333333,141.994975,135.842933333333
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.845376564367945,0.950915533962108,0.924709622987356
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Angola,AGO,2.9918E-08,2.9918E-08,2.9918E-08,2.9918E-08,2.9918E-08,2.9918E-08,2.9918E-08,2.9918E-08,2.9918E-08,2.9918E-08,5.50983333333334E-08,2.51416666666667E-07,2.66016666666667E-06,5.9515E-05,0.00275022958333333,0.128029166666667,0.229040083333333,0.3928235175,2.79070616666667,10.0405441666667,22.0578616666667,43.5302066666667,74.6063008333333,83.5413625,87.1591416666667,80.3680720555555,76.70614275,75.0333541666667,79.3281666666667,91.9057203405018,93.93475,95.467955421311,96.5182794791526,98.3024168556335,120.060701665019,163.656434116579,165.915950691498,252.855747731297,364.825804980887,578.25878028011,631.441955506727,460.567511631462,685.020237761449
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Antigua and Barbuda,ATG,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Argentina,ARG,4.40269166666725E-08,2.59225333333263E-07,1.05299574995841E-06,6.7649116666E-06,6.01809E-05,9.43031666666667E-05,0.000214429833333333,0.000875260416666667,0.0423339608333333,0.487589083333333,0.953554416666667,0.990641666666667,0.998945833333333,0.999008333333333,0.99975,0.9996625,0.9995,0.9995,0.9995,0.9995,0.9995,3.06325666666667,2.90062916666667,2.92330081890332,2.9036575,3.05431333333333,3.09564884920635,3.14416455988456,3.71010683052328,3.8962951544705,4.11013957621326,4.53693436018746,5.45935266465704,8.07527599281334,9.23318552472429,14.7581750873396,16.5627069251411,28.0949916666667,48.1478916666667,70.5391666666667,94.9907416666667,130.61655,296.258041666667
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,9.105,288.650833333333,405.908333333333,414.0415,490.84678575,504.915,535.061833333334,539.525833333333,555.078258333333,573.353333333333,578.762954545454,533.450833333334,457.686940629159,416.040369724542,342.079116208671,305.969400261936,363.283285606061,373.660466738817,372.500882448711,401.763975626916,409.625749270293,415.919789204938,477.918306576099,480.488150777966,482.716393849129,482.987946590235,480.44512876712,489.008858590915,503.769674961652,435.6661796523,392.476302158971
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Aruba,ABW,..,..,..,..,..,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79
