Series Name,Series Code,Country Name,Country Code,1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
GDP (current US$),NY.GDP.MKTP.CD,United Kingdom,GBR,489285164271.047,601452653180.885,745162608269.325,910122732123.799,926884816753.927,1093169389204.55,1142797178130.51,1179659529659.53,1061388722255.55,1140489745944.29,1344240176739.78,1419645865834.63,1560911918795.02,1653694932096.72,1687830448147.55,1665534876683.31,1649827263567.01,1785729916067.15,2054422857142.86,2421525082387.4,2543180000000,2708441582336.71,3090510204081.63,2929411764705.88,2412840006231.5,2485482596184.71,2663805834828.07,2707089726614.64,2784853502534.29,3064708247921.43,2927911140916.73,2689106566899.61,2680148052335.3,2871340347581.79,2851407164907.81,2696778386607.65,3143323050707.26,3114042471144.39,3380854520809.54
GDP (current US$),NY.GDP.MKTP.CD,United States,USA,4338979000000,4579631000000,4855215000000,5236438000000,5641580000000,5963144000000,6158129000000,6520327000000,6858559000000,7287236000000,7639749000000,8073122000000,8577552000000,9062817000000,9631172000000,10250952000000,10581929000000,10929108000000,11456450000000,12217196000000,13039197000000,13815583000000,14474228000000,14769862000000,14478067000000,15048971000000,15599732000000,16253970000000,16880683000000,17608138000000,18295019000000,18804913000000,19612102000000,20656516000000,21539982000000,21354105000000,23681171000000,26006893000000,27720709000000
GDP (current US$),NY.GDP.MKTP.CD,Russian Federation,RUS,..,..,..,554828660436.137,506631299734.748,517014446227.929,517962962962.963,460290556900.726,435083713850.837,395077301248.464,395537185734.854,391724890744.498,404928954191.876,270955486862.442,195907128350.934,259710142196.943,306602070620.5,345470494417.863,430347420184.885,591016690732.385,764015973481.11,989932071352.543,1299703478481.65,1660848058303.11,1222645900055.7,1524916715223.95,2045922753398.04,2208293553878.42,2292470078346.22,2059241589895.01,1363482182197.71,1276786350881.14,1574199360089,1657328773461.31,1693115002708.32,1493075894362.14,1843392293734.38,2266029240645.34,2021421476035.42
GDP (current US$),NY.GDP.MKTP.CD,India,IND,232511554840.372,248985994040.59,279033584092.223,296589670895.932,296042052944.66,320979026420.035,270105341879.226,288208070278.013,279295648982.529,327274843459.429,360281909643.489,392896866204.516,415867563592.829,421351317224.941,458821052615.79,468395521654.458,485440139204.171,514939140318.756,607700687237.318,709152728830.775,820383763511.445,940259888787.721,1216736438834.96,1198895139005.92,1341888016994.9,1675615519484.96,1823051829894.55,1827637590410.41,1856721507621.58,2039126479154.52,2103588360044.94,2294796885663.16,2651474262755.45,2702929641648.74,2835606256558.19,2674851578587.27,3167270623260.47,3353470496886.33,3567551674623.01
GDP (current US$),NY.GDP.MKTP.CD,China,CHN,309488028132.653,300758100107.246,272972974764.574,312353631207.819,347768051311.741,360857912565.966,383373318083.624,426915712715.856,444731282435.515,564321854521.013,734484834573.582,863749314718.538,961601980984.623,1029060747620.65,1094003874937.34,1211331651866.09,1339400897105.11,1470557654799.95,1660280543846.79,1955346768721.39,2285961149879.85,2752118657184.02,3550327802998.4,4594336785737.67,5101691124285.21,6087191746679.49,7551545703440.75,8532185381680.59,9570471111831.68,10475624944355.2,11061572618578.7,11233313730348.7,12310491333980.9,13894907857880.6,14279968506271.7,14687744162801,17820459508852.2,17881782683707.3,17794783039552
GDP (current US$),NY.GDP.MKTP.CD,South Africa,ZAF,64459376086.6883,73354771399.2627,96535763418.3729,103976831870.957,108055624081.806,126048140141.869,135203698237.977,146956150986.636,147194747565.75,153512712381.836,171735933897.331,163234925380.563,168978057327.73,152982984557.233,151516957078.536,151752757215.309,135429905922.526,129087556612.449,197018965308.697,255806908594.573,288867217196.534,303858675363.643,333077117253.684,316131258616.309,329754060647.129,417363822801.713,458199494830.834,434400545085.811,400886013595.573,381198869776.106,346709790458.563,323585509674.481,381448814653.456,405260723892.517,389330032224.269,337974655408.055,420886877628.703,406920004594.074,380699271814.508
Lending interest rate (%),FR.INR.LEND,United Kingdom,GBR,12.2529833333333,10.9013583333333,9.7355,10.0957083333333,13.8418083333333,14.7681166666667,11.6949833333333,9.56348333333333,6.01363333333333,5.46278333333333,6.693675,5.95853333333333,6.5634,7.23205,5.34440833333333,5.96389166666667,5.122375,4,3.69579166666667,4.37981666666667,4.648675,4.63825833333333,5.50870833333333,4.67530833333333,0.644866666666667,0.5,0.5,0.5,0.5,0.5,..,..,..,..,..,..,..,..,..
Lending interest rate (%),FR.INR.LEND,United States,USA,9.93333333333333,8.3325,8.20333333333333,9.315,10.8733333333333,10.0091666666667,8.46333333333333,6.25166666666667,6,7.13833333333333,8.82916666666667,8.27083333333333,8.44166666666667,8.35416666666667,7.99416666666667,9.23333333333333,6.92166666666667,4.675,4.1225,4.34,6.18916666666667,7.9575,8.05,5.0875,3.25,3.25,3.25,3.25,3.25,3.25,3.26,3.51166666666667,4.09666666666667,4.90416666666667,5.2825,3.54416666666667,3.25,..,..
Lending interest rate (%),FR.INR.LEND,Russian Federation,RUS,..,..,..,..,..,..,..,..,..,..,..,..,32.0416666666667,41.7916666666667,39.7166666666667,24.4333333333333,17.9083333333333,15.7,12.975,11.4416666666667,10.6833333333333,10.425,10.0333333333333,12.225,15.3083333333333,10.8166666666667,8.45833333333333,9.1,9.46666666666667,11.1416666666667,15.7166666666667,12.5983333333333,10.56,8.86666666666667,8.75333333333333,6.77583333333333,7.18108333333333,11.4591666666667,11.6225
Lending interest rate (%),FR.INR.LEND,India,IND,16.5,16.5,16.5,16.5,16.5,16.5,17.875,18.9166666666667,16.25,14.75,15.4583333333333,15.9583333333333,13.8333333333333,13.5416666666667,12.5416666666667,12.2916666666667,12.0833333333333,11.9166666666667,11.4583333333333,10.9166666666667,10.75,11.1875,13.0208333333333,13.3125,12.1875,8.33335,10.1666666666667,10.6041666666667,10.2916666666667,10.25,10.0083333333333,9.6725,9.50833333333333,9.45416666666667,9.46625,9.15,8.69833333333333,8.56714285714286,..
